epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,204.414,0.17708,6.32263,0.51498,0.17664,0.94228,0.99887,1,0.995,0.96544,0.28299,0.28333,0.21738,0.07111,0.33655,6.47339,0.52059,0.2826,0.62746,0.0094456,0.0094456,0.0094456
30,211.334,0.18515,6.37575,0.51206,0.17507,0.95093,0.99878,1,0.995,0.98326,0.28311,0.28333,0.12922,0.03087,0.29172,6.50112,0.511,0.2408,0.58568,0.0094258,0.0094258,0.0094258
31,218.214,0.17111,6.04421,0.51016,0.16255,0.91446,0.99893,1,0.995,0.97404,0.27859,0.28333,0.14595,0.02954,0.27166,5.97537,0.51399,0.19333,0.55134,0.009406,0.009406,0.009406
32,225.11,0.18486,6.01412,0.51315,0.16771,0.9348,0.99882,1,0.995,0.96716,0.43301,0.43333,0.31341,0.07197,0.24824,5.48266,0.51169,0.20522,0.52874,0.0093862,0.0093862,0.0093862
33,232.322,0.16735,5.79013,0.51365,0.16261,0.92829,0.99685,1,0.995,0.9448,0.57087,0.6,0.44405,0.09921,0.25614,4.85125,0.51065,0.25283,0.57595,0.0093664,0.0093664,0.0093664
34,239.557,0.16245,5.90741,0.51042,0.1634,0.92577,0.99783,1,0.995,0.97902,0.43265,0.43333,0.25731,0.05132,0.26327,5.54759,0.49648,0.27679,0.59716,0.0093466,0.0093466,0.0093466
35,246.433,0.16393,5.64581,0.50902,0.15739,0.92297,0.99905,1,0.995,0.97396,0.26651,0.26667,0.13043,0.02413,0.27318,5.64958,0.50188,0.27493,0.59683,0.0093268,0.0093268,0.0093268
36,253.351,0.15681,5.80477,0.51143,0.15468,0.90865,0.99901,1,0.995,0.9925,0.6996,0.7,0.6147,0.13229,0.22359,4.80282,0.50525,0.22891,0.51832,0.009307,0.009307,0.009307
37,260.527,0.16316,5.56425,0.5053,0.15322,0.94561,0.99902,1,0.995,0.98767,0.61618,0.61667,0.47996,0.10471,0.23559,4.75109,0.50398,0.21635,0.53201,0.0092872,0.0092872,0.0092872
38,267.451,0.16761,5.36573,0.50274,0.15557,0.92461,0.9931,1,0.995,0.99284,0.69537,0.7,0.69678,0.17464,0.24357,4.54044,0.50329,0.22321,0.52579,0.0092674,0.0092674,0.0092674
