epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,116.547,0.18789,6.643,0.51839,0.19095,0.94976,0.99895,1,0.995,0.97969,0.26641,0.26667,0.15903,0.0359,0.2579,5.70422,0.49659,0.28478,0.55095,0.0094456,0.0094456,0.0094456
30,120.543,0.18684,6.62835,0.51706,0.18769,0.9519,0.99902,1,0.995,0.97237,0.1665,0.16667,0.06889,0.01198,0.29561,6.04675,0.49921,0.26443,0.57378,0.0094258,0.0094258,0.0094258
31,124.386,0.17896,6.4554,0.51768,0.18067,0.91701,0.99907,1,0.995,0.98957,0.29975,0.3,0.17098,0.03141,0.23476,5.97867,0.49792,0.20743,0.51816,0.009406,0.009406,0.009406
32,128.462,0.1781,6.3247,0.51373,0.17708,0.93911,0.99905,1,0.995,0.99107,0.29982,0.3,0.16009,0.03927,0.26149,5.6497,0.4964,0.21141,0.55579,0.0093862,0.0093862,0.0093862
33,132.48,0.17677,6.26106,0.51459,0.18324,0.93708,0.9987,1,0.995,0.98748,0.58711,0.58333,0.43047,0.09324,0.24695,4.84456,0.49827,0.25091,0.54401,0.0093664,0.0093664,0.0093664
34,136.447,0.17156,6.21383,0.51455,0.18535,0.93312,0.999,1,0.995,0.98997,0.43289,0.43333,0.29545,0.07584,0.26589,5.15211,0.49428,0.27704,0.56143,0.0093466,0.0093466,0.0093466
35,140.289,0.17529,6.14725,0.51108,0.1804,0.92997,0.99907,1,0.995,0.97696,0.38329,0.38333,0.21812,0.07155,0.24711,5.22977,0.49552,0.23901,0.53275,0.0093268,0.0093268,0.0093268
36,144.216,0.16315,6.14645,0.51515,0.17236,0.91713,0.99909,1,0.995,0.99226,0.46644,0.46667,0.36252,0.08622,0.23688,4.93536,0.50009,0.2093,0.52786,0.009307,0.009307,0.009307
37,148.039,0.17187,5.97075,0.50658,0.17181,0.94432,0.99913,1,0.995,0.98415,0.6662,0.66667,0.64803,0.10928,0.23266,5.04935,0.49998,0.23715,0.52798,0.0092872,0.0092872,0.0092872
38,152.074,0.15965,5.92595,0.50543,0.16978,0.92009,0.9991,1,0.995,0.98889,0.66625,0.66667,0.5491,0.12146,0.22381,4.5386,0.50234,0.21487,0.52211,0.0092674,0.0092674,0.0092674
39,156.045,0.16351,6.18705,0.51085,0.16681,0.92831,0.9991,1,0.995,0.98761,0.63275,0.63333,0.51505,0.11228,0.26219,4.81662,0.49857,0.22659,0.56447,0.0092476,0.0092476,0.0092476
40,159.953,0.16571,5.85968,0.50767,0.16825,0.9226,0.99906,1,0.995,0.97658,0.38297,0.38333,0.24143,0.07526,0.24764,4.96565,0.4958,0.23563,0.55089,0.0092278,0.0092278,0.0092278
41,163.815,0.17549,5.90791,0.50905,0.1701,0.94205,0.99914,1,0.995,0.98317,0.53319,0.53333,0.38428,0.10109,0.24826,4.85575,0.49072,0.2875,0.56468,0.009208,0.009208,0.009208
42,167.734,0.16459,5.76168,0.50624,0.17142,0.9208,0.99911,1,0.995,0.98978,0.51633,0.51667,0.42328,0.09764,0.25423,4.93243,0.48243,0.26218,0.5489,0.0091882,0.0091882,0.0091882
43,171.771,0.16009,5.52201,0.50049,0.16511,0.91892,0.99908,1,0.995,0.98383,0.51641,0.51667,0.46556,0.10186,0.25843,5.18096,0.48263,0.25085,0.55007,0.0091684,0.0091684,0.0091684
44,175.667,0.15908,5.79057,0.49723,0.15961,0.93069,0.99909,1,0.995,0.9902,0.64941,0.65,0.53168,0.11941,0.23174,4.46017,0.48429,0.23442,0.51389,0.0091486,0.0091486,0.0091486
45,179.525,0.16276,5.63552,0.50055,0.16474,0.9191,0.99845,1,0.995,0.98739,0.57001,0.59658,0.43467,0.08979,0.23307,4.92035,0.48524,0.23612,0.51967,0.0091288,0.0091288,0.0091288
46,183.38,0.16517,5.37156,0.50143,0.16345,0.93142,0.99895,1,0.995,0.99419,0.54941,0.55,0.40596,0.1074,0.24307,4.4821,0.48562,0.24708,0.54379,0.009109,0.009109,0.009109
47,187.249,0.15921,5.33727,0.49885,0.15658,0.92401,0.99904,1,0.995,0.98254,0.66605,0.66667,0.49792,0.11896,0.25799,4.61146,0.48415,0.23204,0.55335,0.0090892,0.0090892,0.0090892
48,191.18,0.16032,5.59392,0.49437,0.15848,0.92964,0.99904,1,0.995,0.99217,0.69949,0.7,0.55937,0.11891,0.22982,4.45228,0.48476,0.21622,0.52217,0.0090694,0.0090694,0.0090694
49,195.158,0.15065,5.54361,0.49247,0.15355,0.91988,0.99906,1,0.995,0.98948,0.71638,0.71667,0.58904,0.18212,0.24655,4.18212,0.4879,0.2288,0.53579,0.0090496,0.0090496,0.0090496
50,199.188,0.15841,5.5514,0.49939,0.15535,0.91541,0.9991,1,0.995,0.9862,0.74932,0.75,0.67463,0.17393,0.25921,4.37349,0.48897,0.2352,0.54888,0.0090298,0.0090298,0.0090298
51,203.082,0.1591,5.50662,0.49485,0.15705,0.92089,0.99505,1,0.995,0.98603,0.74629,0.75,0.61824,0.13919,0.24472,4.44434,0.48887,0.2289,0.53944,0.00901,0.00901,0.00901
52,207.003,0.15136,5.21913,0.49185,0.1507,0.90761,0.98813,1,0.995,0.98978,0.75692,0.76667,0.73366,0.18901,0.23932,4.03295,0.48562,0.26825,0.52436,0.0089902,0.0089902,0.0089902
53,210.983,0.1521,5.27581,0.501,0.15493,0.91898,0.99662,1,0.995,0.97696,0.76402,0.76667,0.6629,0.1482,0.23939,4.41179,0.48454,0.24612,0.52739,0.0089704,0.0089704,0.0089704
54,214.901,0.15115,5.0087,0.4925,0.14852,0.9146,0.99887,1,0.995,0.98862,0.58296,0.58333,0.40683,0.10772,0.23255,4.13994,0.48258,0.23062,0.51182,0.0089506,0.0089506,0.0089506
55,218.815,0.14688,5.2324,0.49685,0.1531,0.91012,0.99909,1,0.995,0.98287,0.78262,0.78333,0.73879,0.20301,0.2582,4.05456,0.48305,0.2226,0.53904,0.0089308,0.0089308,0.0089308
56,223.078,0.1484,4.87551,0.49524,0.15155,0.91609,0.99865,1,0.995,0.98939,0.79907,0.8,0.72001,0.18336,0.23282,3.93796,0.48108,0.20371,0.51995,0.008911,0.008911,0.008911
57,226.929,0.14796,5.04646,0.4952,0.14799,0.90866,0.99812,1,0.995,0.99429,0.88504,0.9,0.88404,0.22974,0.23051,4.09869,0.47892,0.20284,0.53492,0.0088912,0.0088912,0.0088912
58,230.943,0.14807,5.14847,0.49046,0.15171,0.91954,0.99907,1,0.995,0.99309,0.7826,0.78333,0.72,0.16544,0.22763,4.47597,0.48633,0.21852,0.53824,0.0088714,0.0088714,0.0088714
59,234.77,0.14725,4.89698,0.49266,0.14904,0.93056,0.99908,1,0.995,0.99007,0.68271,0.68333,0.54306,0.18459,0.23438,4.03702,0.47644,0.22087,0.53702,0.0088516,0.0088516,0.0088516
60,238.639,0.1485,4.80729,0.49467,0.1533,0.9021,0.99909,1,0.995,0.98881,0.74931,0.75,0.63051,0.19319,0.21996,4.26955,0.47152,0.22,0.53914,0.0088318,0.0088318,0.0088318
61,242.51,0.14823,4.8474,0.49438,0.15002,0.90577,0.99909,1,0.995,0.98695,0.73266,0.73333,0.60586,0.18154,0.22549,3.91632,0.47464,0.18572,0.54602,0.008812,0.008812,0.008812
62,246.4,0.1449,4.78162,0.49481,0.14597,0.90503,0.99894,1,0.995,0.96868,0.91569,0.91667,0.92094,0.2629,0.2204,3.66718,0.47789,0.22871,0.5167,0.0087922,0.0087922,0.0087922
63,250.338,0.15648,4.83946,0.48262,0.15521,0.92279,0.99906,1,0.995,0.97586,0.8492,0.85,0.8214,0.21146,0.26745,3.94278,0.47492,0.22307,0.55861,0.0087724,0.0087724,0.0087724
64,254.233,0.14498,4.84195,0.48948,0.14836,0.9108,0.99909,1,0.995,0.9902,0.71601,0.71667,0.63145,0.1652,0.26003,4.23545,0.47966,0.21247,0.5505,0.0087526,0.0087526,0.0087526
65,258.059,0.14725,4.73999,0.48821,0.14987,0.92943,0.99908,1,0.995,0.97046,0.73266,0.73333,0.64402,0.17245,0.27151,4.18564,0.47459,0.22254,0.55452,0.0087328,0.0087328,0.0087328
