epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,161.86,0.17467,7.00067,0.52262,0.17731,0.94709,0.99824,1,0.995,0.97798,0.09986,0.1,0.02984,0.00699,0.32405,6.91779,0.52126,0.2473,0.62279,0.0094258,0.0094258,0.0094258
31,167.119,0.18257,6.65628,0.52195,0.17708,0.91904,0.96181,0.98333,0.99452,0.96778,0.25131,0.25,0.14389,0.04903,0.35079,6.09896,0.52151,0.37805,0.64624,0.009406,0.009406,0.009406
32,172.617,0.18206,6.62694,0.52294,0.17738,0.94042,0.99903,1,0.995,0.93643,0.1001,0.1,0.03567,0.00633,0.36474,6.1756,0.52115,0.34434,0.65035,0.0093862,0.0093862,0.0093862
33,177.936,0.18908,6.61814,0.52464,0.1794,0.93858,0.99865,1,0.995,0.98317,0.23317,0.23333,0.115,0.03961,0.32448,5.75623,0.5147,0.32772,0.61857,0.0093664,0.0093664,0.0093664
34,183.481,0.18154,6.46018,0.51965,0.17452,0.93938,0.98334,0.98348,0.99451,0.92454,0.06891,0.06667,0.02502,0.00487,0.42221,6.57054,0.50526,0.30699,0.73993,0.0093466,0.0093466,0.0093466
35,188.802,0.17442,6.49668,0.51618,0.16521,0.93104,0.99909,1,0.995,0.97391,0.26655,0.26667,0.14954,0.04435,0.33182,5.71085,0.51156,0.27468,0.61859,0.0093268,0.0093268,0.0093268
36,194.086,0.16686,6.47888,0.51875,0.16361,0.92123,0.99899,1,0.995,0.96211,0.31637,0.31667,0.17382,0.02873,0.28278,5.96282,0.50924,0.24313,0.56329,0.009307,0.009307,0.009307
37,199.389,0.17303,6.386,0.51225,0.16276,0.94482,0.99899,1,0.995,0.99052,0.21649,0.21667,0.12958,0.01894,0.26461,6.13162,0.51057,0.22479,0.55539,0.0092872,0.0092872,0.0092872
38,204.727,0.16655,6.4532,0.50945,0.15894,0.92239,0.99901,1,0.995,0.99416,0.34982,0.35,0.18613,0.04695,0.23518,5.55954,0.50778,0.20096,0.53043,0.0092674,0.0092674,0.0092674
39,210.22,0.1573,6.52487,0.51373,0.15451,0.92571,0.99666,1,0.995,0.97756,0.33265,0.33333,0.16669,0.04345,0.2895,5.80882,0.50021,0.24186,0.59868,0.0092476,0.0092476,0.0092476
40,215.504,0.16048,6.37689,0.50814,0.15572,0.91664,0.99911,1,0.995,0.97106,0.24985,0.25,0.14597,0.03688,0.32103,6.11408,0.50343,0.24741,0.62825,0.0092278,0.0092278,0.0092278
