epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,204.408,0.14786,4.72339,0.4715,0.15289,0.9185,0.99909,1,0.995,0.98957,0.49955,0.5,0.40941,0.16709,0.25206,4.83095,0.46194,0.41349,0.55077,0.0085348,0.0085348,0.0085348
76,207.26,0.14513,4.73909,0.47,0.14939,0.91073,0.99908,1,0.995,0.98775,0.49958,0.5,0.35765,0.1083,0.25272,4.6984,0.46771,0.31938,0.55601,0.008515,0.008515,0.008515
77,209.898,0.13978,4.63911,0.47166,0.14438,0.90363,0.9974,1,0.995,0.98057,0.58204,0.58333,0.44106,0.14262,0.25636,4.51603,0.46284,0.3662,0.5648,0.0084952,0.0084952,0.0084952
78,212.572,0.14894,4.51815,0.47391,0.15005,0.91852,1,0.9975,0.995,0.9918,0.48341,0.49908,0.33689,0.11747,0.23766,4.64657,0.46364,0.39654,0.5546,0.0084754,0.0084754,0.0084754
79,215.234,0.14701,4.58819,0.47377,0.14913,0.89753,0.99831,1,0.995,0.99303,0.59901,0.6,0.54156,0.16591,0.23227,4.46562,0.46676,0.34998,0.53773,0.0084556,0.0084556,0.0084556
80,217.899,0.1392,4.56416,0.47606,0.14494,0.8995,0.9991,1,0.995,0.99183,0.64942,0.65,0.60417,0.23072,0.22095,4.47253,0.45945,0.36037,0.5353,0.0084358,0.0084358,0.0084358
81,220.587,0.13739,4.39656,0.4781,0.14904,0.90086,0.99909,1,0.995,0.99112,0.59945,0.6,0.44235,0.15059,0.23643,4.51038,0.4577,0.32745,0.55361,0.008416,0.008416,0.008416
82,223.262,0.14024,4.4205,0.46812,0.15153,0.89764,0.99912,1,0.995,0.99058,0.56616,0.56667,0.39944,0.12769,0.24396,4.58787,0.4575,0.37225,0.55717,0.0083962,0.0083962,0.0083962
83,225.93,0.14827,4.50286,0.47268,0.15152,0.91728,0.99909,1,0.995,0.995,0.59969,0.6,0.47359,0.134,0.25333,4.57529,0.45679,0.31509,0.55661,0.0083764,0.0083764,0.0083764
84,228.616,0.14015,4.21804,0.46733,0.15113,0.91366,0.99912,1,0.995,0.97009,0.34969,0.35,0.20607,0.05681,0.27792,4.92607,0.45202,0.31922,0.56669,0.0083566,0.0083566,0.0083566
85,231.251,0.15006,4.34199,0.46776,0.14765,0.9216,0.99852,1,0.995,0.98898,0.60628,0.61667,0.47812,0.14466,0.25093,4.48098,0.4576,0.2964,0.556,0.0083368,0.0083368,0.0083368
86,233.878,0.15259,4.3151,0.47293,0.16159,0.91014,0.99755,1,0.995,0.98749,0.65518,0.66667,0.58527,0.17647,0.25402,4.56607,0.45808,0.3236,0.56588,0.008317,0.008317,0.008317
87,236.54,0.14279,4.47024,0.47159,0.1487,0.91801,0.99587,1,0.995,0.98943,0.6488,0.65,0.51901,0.14335,0.25481,4.37065,0.45666,0.28524,0.57365,0.0082972,0.0082972,0.0082972
88,239.269,0.14559,4.27022,0.47227,0.14988,0.91066,0.99898,1,0.995,0.98602,0.54146,0.53333,0.4352,0.12227,0.23906,4.40796,0.45092,0.31024,0.54137,0.0082774,0.0082774,0.0082774
89,241.971,0.14059,4.29719,0.46816,0.14835,0.90023,0.99888,1,0.995,0.98475,0.7325,0.73333,0.66395,0.17835,0.23632,4.29814,0.45195,0.30551,0.53814,0.0082576,0.0082576,0.0082576
90,244.608,0.13956,4.44282,0.46494,0.14239,0.91342,0.99912,1,0.995,0.98308,0.58307,0.58333,0.46074,0.16013,0.24144,4.60292,0.45265,0.31757,0.55124,0.0082378,0.0082378,0.0082378
91,247.255,0.13223,4.28229,0.46634,0.14525,0.90441,0.9988,1,0.995,0.9853,0.79921,0.8,0.75776,0.21136,0.27691,4.09769,0.45027,0.36988,0.58784,0.008218,0.008218,0.008218
