epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,80.963,0.17681,6.65386,0.51875,0.18817,0.94125,0.99903,1,0.995,0.97803,0.24982,0.25,0.10573,0.02498,0.28772,6.53423,0.50509,0.5039,0.60663,0.0094456,0.0094456,0.0094456
30,83.6119,0.17861,6.51923,0.51476,0.19452,0.94042,0.99801,1,0.995,0.97546,0.11649,0.11667,0.03464,0.00801,0.29087,6.7642,0.5059,0.41967,0.60176,0.0094258,0.0094258,0.0094258
31,86.2653,0.18489,6.43814,0.51444,0.19299,0.92193,0.99896,1,0.995,0.9866,0.19991,0.2,0.10189,0.02149,0.27742,6.45429,0.50687,0.26876,0.56673,0.009406,0.009406,0.009406
32,89.0463,0.18635,6.34777,0.51311,0.18976,0.94695,0.99892,1,0.995,0.98614,0.2331,0.23333,0.12104,0.02784,0.25978,6.41647,0.50042,0.29095,0.56129,0.0093862,0.0093862,0.0093862
33,91.7356,0.18669,6.26571,0.51656,0.18733,0.93802,0.99888,1,0.995,0.98014,0.21665,0.21667,0.09264,0.01522,0.30237,6.29089,0.4987,0.36568,0.60152,0.0093664,0.0093664,0.0093664
34,94.3923,0.16972,6.39639,0.51594,0.18226,0.93196,0.99853,1,0.995,0.96132,0.15122,0.15,0.06742,0.00981,0.37811,6.73536,0.49291,0.40701,0.68313,0.0093466,0.0093466,0.0093466
35,97.0269,0.17394,6.22191,0.51316,0.18032,0.93282,0.99897,1,0.995,0.97523,0.36798,0.35,0.22152,0.06816,0.3266,6.06778,0.49985,0.38894,0.64916,0.0093268,0.0093268,0.0093268
36,99.762,0.17136,6.21198,0.51732,0.18356,0.92211,0.99909,1,0.995,0.98712,0.31663,0.31667,0.18206,0.05045,0.25157,5.80535,0.49813,0.30128,0.57761,0.009307,0.009307,0.009307
37,102.49,0.17278,6.1738,0.50592,0.17565,0.94487,1,0.99988,0.995,0.98415,0.15211,0.15,0.05155,0.02047,0.25771,6.07515,0.50009,0.34862,0.56982,0.0092872,0.0092872,0.0092872
38,105.184,0.1765,6.09333,0.50281,0.18238,0.93025,0.99894,1,0.995,0.98298,0.26649,0.26667,0.10609,0.04076,0.28402,5.7253,0.49757,0.45175,0.60428,0.0092674,0.0092674,0.0092674
39,108.005,0.17282,6.24162,0.50978,0.1824,0.94173,0.9988,1,0.995,0.9286,0.25032,0.25,0.14943,0.05519,0.50108,5.96077,0.49996,0.3921,0.87547,0.0092476,0.0092476,0.0092476
40,110.637,0.16821,5.91844,0.50359,0.17115,0.92141,0.99901,1,0.995,0.95303,0.23533,0.23333,0.1421,0.03183,0.4605,6.31457,0.50325,0.55216,0.7882,0.0092278,0.0092278,0.0092278
41,113.337,0.17761,5.90919,0.50562,0.17643,0.94145,0.99925,1,0.995,0.96846,0.33281,0.33333,0.20739,0.07243,0.33102,6.04847,0.4952,0.42808,0.65999,0.009208,0.009208,0.009208
42,116.014,0.17223,5.93444,0.50417,0.17894,0.92333,0.99839,1,0.995,0.97909,0.16085,0.16667,0.06414,0.01417,0.30852,6.52054,0.48537,0.32511,0.61192,0.0091882,0.0091882,0.0091882
43,118.644,0.16446,5.71005,0.49802,0.17163,0.92281,0.99885,1,0.995,0.98553,0.32759,0.33333,0.17703,0.04261,0.29158,5.863,0.48911,0.28906,0.58301,0.0091684,0.0091684,0.0091684
44,121.275,0.17099,5.62856,0.49552,0.17467,0.9408,0.99908,1,0.995,0.97574,0.24458,0.23333,0.14326,0.03802,0.28323,6.00617,0.49194,0.34129,0.58941,0.0091486,0.0091486,0.0091486
45,123.91,0.16892,5.5702,0.49772,0.17342,0.92516,0.99597,1,0.995,0.97125,0.38313,0.38333,0.23578,0.05023,0.26135,5.83175,0.48841,0.32043,0.58042,0.0091288,0.0091288,0.0091288
46,126.631,0.16794,5.3867,0.50003,0.16891,0.93245,0.99872,1,0.995,0.97753,0.43558,0.43333,0.27436,0.10196,0.27937,5.46377,0.49366,0.35341,0.6021,0.009109,0.009109,0.009109
47,129.325,0.15985,5.22188,0.49826,0.16966,0.92219,0.99896,1,0.995,0.98906,0.53278,0.53333,0.38952,0.10384,0.26194,5.17992,0.48998,0.3712,0.58397,0.0090892,0.0090892,0.0090892
48,132.015,0.15355,5.47241,0.49332,0.16882,0.92251,0.99872,1,0.995,0.98531,0.33329,0.33333,0.17505,0.04952,0.24624,5.74805,0.49266,0.34342,0.53921,0.0090694,0.0090694,0.0090694
49,134.682,0.16627,5.33324,0.49121,0.17274,0.92561,0.99908,1,0.995,0.99257,0.46623,0.46667,0.30234,0.10016,0.25795,5.52606,0.48943,0.30299,0.55733,0.0090496,0.0090496,0.0090496
50,137.414,0.15901,5.56274,0.49739,0.16423,0.91307,0.99895,1,0.995,0.98445,0.39957,0.4,0.22773,0.07168,0.25848,5.55007,0.49743,0.31543,0.56996,0.0090298,0.0090298,0.0090298
51,140.108,0.16586,5.56182,0.49468,0.17471,0.92278,0.99884,1,0.995,0.9925,0.38289,0.38333,0.22604,0.07406,0.23107,5.68757,0.48763,0.37937,0.54234,0.00901,0.00901,0.00901
52,142.766,0.15502,5.2553,0.48986,0.1669,0.90956,0.99898,1,0.995,0.98572,0.34964,0.35,0.19263,0.05994,0.24638,5.48422,0.488,0.43253,0.54972,0.0089902,0.0089902,0.0089902
53,145.412,0.15958,5.38566,0.49496,0.16678,0.92059,1,0.99935,0.995,0.98711,0.39254,0.39851,0.28198,0.09386,0.25146,5.19462,0.49035,0.41064,0.55598,0.0089704,0.0089704,0.0089704
54,148.056,0.14714,5.05688,0.49048,0.16335,0.91212,0.99823,1,0.995,0.99273,0.23324,0.23333,0.11184,0.05143,0.23595,5.56927,0.48454,0.37226,0.54101,0.0089506,0.0089506,0.0089506
55,150.704,0.16765,5.29092,0.49136,0.1702,0.91566,0.99886,1,0.995,0.97034,0.49956,0.5,0.3373,0.09794,0.24456,5.11588,0.48393,0.33803,0.54482,0.0089308,0.0089308,0.0089308
56,153.381,0.1535,5.03797,0.49417,0.16093,0.92083,0.999,1,0.995,0.98163,0.46655,0.46667,0.33637,0.10711,0.25121,5.21195,0.47721,0.37622,0.56553,0.008911,0.008911,0.008911
57,156.011,0.16172,5.05368,0.49,0.1686,0.91318,0.99904,1,0.995,0.98634,0.43291,0.43333,0.25407,0.07159,0.28182,4.89861,0.48342,0.39119,0.604,0.0088912,0.0088912,0.0088912
58,158.872,0.15292,5.18824,0.4832,0.15806,0.92293,0.99911,1,0.995,0.98801,0.44959,0.45,0.2862,0.08167,0.2625,5.49351,0.48207,0.44495,0.57354,0.0088714,0.0088714,0.0088714
59,161.523,0.15202,5.01649,0.48689,0.16277,0.9276,0.99759,1,0.995,0.97434,0.48212,0.48333,0.34424,0.14551,0.32093,4.88805,0.47955,0.4762,0.64885,0.0088516,0.0088516,0.0088516
60,164.306,0.15477,4.89915,0.48779,0.15357,0.90661,0.9991,1,0.995,0.97952,0.5164,0.51667,0.39666,0.11112,0.24645,5.10576,0.48023,0.37642,0.55327,0.0088318,0.0088318,0.0088318
61,166.95,0.16071,4.97407,0.49229,0.1635,0.91085,0.99907,1,0.995,0.98914,0.53301,0.53333,0.44155,0.17275,0.24627,4.68425,0.47942,0.43376,0.55442,0.008812,0.008812,0.008812
62,169.672,0.15736,4.90165,0.49266,0.16409,0.91066,0.99917,1,0.995,0.99183,0.53813,0.53333,0.45903,0.17017,0.26947,4.64338,0.48198,0.34878,0.57053,0.0087922,0.0087922,0.0087922
63,172.417,0.16438,4.68235,0.48031,0.16418,0.92694,0.99899,1,0.995,0.99098,0.46618,0.46667,0.32993,0.08708,0.25773,4.93332,0.47451,0.33222,0.54304,0.0087724,0.0087724,0.0087724
64,175.109,0.16132,4.71677,0.48491,0.16249,0.92122,0.99879,1,0.995,0.99352,0.43278,0.43333,0.24108,0.08675,0.24593,5.18129,0.47393,0.39512,0.55527,0.0087526,0.0087526,0.0087526
65,177.832,0.1552,4.87693,0.48416,0.16211,0.93437,0.99876,1,0.995,0.98961,0.41147,0.43117,0.25363,0.06529,0.26355,4.87612,0.47306,0.40652,0.57049,0.0087328,0.0087328,0.0087328
66,180.516,0.1518,4.81799,0.47934,0.15745,0.90469,0.99906,1,0.995,0.98931,0.44958,0.45,0.2749,0.09523,0.25222,4.70313,0.46921,0.41938,0.57248,0.008713,0.008713,0.008713
67,183.16,0.15208,4.71477,0.48122,0.15657,0.91616,0.9991,1,0.995,0.98609,0.54951,0.55,0.41459,0.14174,0.26463,4.70451,0.4666,0.42294,0.58709,0.0086932,0.0086932,0.0086932
68,185.779,0.15139,4.77009,0.48041,0.15743,0.92598,0.99908,1,0.995,0.98151,0.53307,0.53333,0.41255,0.14323,0.25682,4.60751,0.46408,0.33294,0.57047,0.0086734,0.0086734,0.0086734
69,188.42,0.14799,4.70161,0.47992,0.15414,0.915,0.99905,1,0.995,0.98079,0.51667,0.51667,0.39158,0.14895,0.26898,4.62936,0.46373,0.30022,0.57885,0.0086536,0.0086536,0.0086536
70,191.084,0.14994,4.71806,0.475,0.15627,0.91188,0.99897,1,0.995,0.98933,0.64953,0.65,0.54162,0.12617,0.25278,4.59211,0.46699,0.32623,0.54524,0.0086338,0.0086338,0.0086338
71,193.705,0.14147,4.79968,0.4808,0.15538,0.91143,0.99879,1,0.995,0.99001,0.48273,0.48333,0.32948,0.10518,0.27924,5.0456,0.46247,0.32,0.56082,0.008614,0.008614,0.008614
72,196.341,0.14476,4.78621,0.48074,0.15844,0.91742,0.99856,1,0.995,0.99092,0.61578,0.61667,0.49377,0.15947,0.28535,4.70324,0.46595,0.39401,0.58304,0.0085942,0.0085942,0.0085942
73,198.965,0.15297,4.674,0.47824,0.156,0.91352,0.99907,1,0.995,0.98719,0.58279,0.58333,0.47968,0.18047,0.27154,4.71119,0.46288,0.47602,0.57894,0.0085744,0.0085744,0.0085744
74,201.772,0.15215,4.52754,0.47526,0.15396,0.92072,0.99901,1,0.995,0.99418,0.5661,0.56667,0.45474,0.16984,0.24777,4.69767,0.46535,0.48062,0.55345,0.0085546,0.0085546,0.0085546
