epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,69.7497,0.20277,7.2985,0.52262,0.20594,0.96111,0.99868,1,0.995,0.95906,0.12531,0.11667,0.0437,0.00757,0.37532,7.43465,0.51492,0.42372,0.81167,0.0094258,0.0094258,0.0094258
31,71.9422,0.19008,6.99442,0.52014,0.19305,0.92887,0.99909,1,0.995,0.98548,0.16662,0.16667,0.05822,0.01204,0.29106,7.05318,0.51326,0.43712,0.67247,0.009406,0.009406,0.009406
32,74.1536,0.19195,6.94122,0.51719,0.19641,0.95008,0.99906,1,0.995,0.97803,0.08461,0.08333,0.02738,0.00541,0.30527,7.21435,0.51346,0.37282,0.65743,0.0093862,0.0093862,0.0093862
33,76.3704,0.18482,7.16358,0.51838,0.19092,0.94505,0.99901,1,0.995,0.95499,0.13331,0.13333,0.04868,0.0173,0.37284,6.7681,0.50812,0.44474,0.74114,0.0093664,0.0093664,0.0093664
34,78.6367,0.17634,6.96665,0.51707,0.19669,0.93771,0.99855,1,0.995,0.9466,0.14988,0.15,0.04238,0.01745,0.32321,6.72253,0.50455,0.40033,0.67689,0.0093466,0.0093466,0.0093466
35,80.793,0.1755,6.86205,0.51352,0.18942,0.93342,0.99888,1,0.995,0.95925,0.14034,0.13333,0.05234,0.02009,0.36965,6.42246,0.50676,0.47123,0.75292,0.0093268,0.0093268,0.0093268
36,82.9351,0.17797,6.97069,0.51611,0.19095,0.92573,0.99878,1,0.995,0.97922,0.19996,0.2,0.08939,0.02881,0.31961,6.88027,0.50522,0.41133,0.68512,0.009307,0.009307,0.009307
37,85.1159,0.18415,6.79789,0.50927,0.19381,0.95185,0.9981,1,0.995,0.98701,0.16659,0.16667,0.08929,0.01453,0.29373,6.39221,0.50134,0.38704,0.65352,0.0092872,0.0092872,0.0092872
38,87.2882,0.18079,6.73598,0.50677,0.19028,0.93458,0.99708,1,0.995,0.97728,0.11655,0.11667,0.04401,0.0108,0.27934,6.51804,0.50371,0.45266,0.63797,0.0092674,0.0092674,0.0092674
39,89.7344,0.1691,6.8933,0.5125,0.18568,0.93649,0.99799,1,0.995,0.94438,0.14987,0.15,0.05853,0.01535,0.30972,6.51201,0.50069,0.37888,0.69255,0.0092476,0.0092476,0.0092476
40,91.9971,0.18096,6.53793,0.50617,0.1887,0.92795,0.99905,1,0.995,0.95825,0.21648,0.21667,0.10835,0.0471,0.33327,6.28533,0.50732,0.35688,0.69589,0.0092278,0.0092278,0.0092278
41,94.152,0.17359,6.52277,0.50808,0.19454,0.94474,0.99906,1,0.995,0.96606,0.2076,0.2,0.09861,0.0475,0.32075,6.13995,0.50549,0.35181,0.68234,0.009208,0.009208,0.009208
42,96.3296,0.17085,6.47753,0.50494,0.18893,0.92539,0.99905,1,0.995,0.98789,0.16661,0.16667,0.06915,0.01349,0.28396,6.63247,0.50507,0.33743,0.65348,0.0091882,0.0091882,0.0091882
43,98.4649,0.17348,6.43102,0.50113,0.18045,0.93399,0.99861,1,0.995,0.98113,0.26653,0.26667,0.13851,0.04265,0.29124,5.94936,0.50778,0.35763,0.62365,0.0091684,0.0091684,0.0091684
44,100.697,0.17162,6.47386,0.49785,0.17442,0.94382,0.99903,1,0.995,0.97087,0.29992,0.3,0.20599,0.04423,0.29999,5.92935,0.50478,0.30548,0.64966,0.0091486,0.0091486,0.0091486
45,103.015,0.16083,6.21919,0.50319,0.17454,0.92272,0.99903,1,0.995,0.95847,0.17422,0.18333,0.08004,0.02777,0.34227,6.15869,0.50321,0.38157,0.73257,0.0091288,0.0091288,0.0091288
46,105.22,0.17417,6.27312,0.50474,0.17702,0.93407,0.99832,1,0.995,0.96593,0.23297,0.23333,0.14695,0.03999,0.32052,6.23661,0.4985,0.40663,0.73135,0.009109,0.009109,0.009109
47,107.356,0.16823,6.16735,0.50357,0.17701,0.92841,0.99813,1,0.995,0.96288,0.29961,0.3,0.20121,0.06443,0.29917,5.55298,0.4989,0.345,0.67775,0.0090892,0.0090892,0.0090892
48,109.511,0.16468,6.29556,0.4967,0.17449,0.93483,0.99873,1,0.995,0.97732,0.26654,0.26667,0.14857,0.04182,0.27927,5.95593,0.49748,0.2823,0.61526,0.0090694,0.0090694,0.0090694
49,111.675,0.16611,6.07789,0.49417,0.17037,0.92408,0.99894,1,0.995,0.98095,0.29987,0.3,0.15518,0.04413,0.26401,5.86027,0.49663,0.30723,0.61385,0.0090496,0.0090496,0.0090496
50,113.906,0.17464,6.361,0.50215,0.17542,0.93395,0.99725,1,0.995,0.97991,0.31652,0.31667,0.16732,0.03734,0.27023,5.75634,0.49626,0.33213,0.63237,0.0090298,0.0090298,0.0090298
51,116.099,0.17621,6.08389,0.49803,0.17435,0.93336,0.99747,1,0.995,0.98555,0.1833,0.18333,0.08316,0.02527,0.27559,6.13909,0.49306,0.32062,0.6244,0.00901,0.00901,0.00901
52,118.31,0.15806,6.02698,0.49415,0.17066,0.91646,0.99899,1,0.995,0.99138,0.24985,0.25,0.10738,0.02352,0.24124,5.83852,0.49605,0.43256,0.58218,0.0089902,0.0089902,0.0089902
53,120.471,0.17255,5.95122,0.49835,0.1731,0.93416,0.99901,1,0.995,0.98109,0.19998,0.2,0.09144,0.03918,0.28033,5.52172,0.49113,0.38194,0.62,0.0089704,0.0089704,0.0089704
54,122.652,0.16089,5.83233,0.49427,0.16964,0.92255,0.99808,1,0.995,0.97796,0.27364,0.26667,0.20766,0.06565,0.28046,5.77548,0.49134,0.33736,0.61398,0.0089506,0.0089506,0.0089506
55,124.841,0.16175,6.05341,0.49544,0.16864,0.91448,0.99303,1,0.995,0.97593,0.24994,0.25,0.14035,0.06297,0.30182,5.80188,0.49247,0.33745,0.63845,0.0089308,0.0089308,0.0089308
56,127.299,0.16234,5.88138,0.49617,0.17012,0.92659,0.99902,1,0.995,0.97251,0.36644,0.36667,0.21008,0.06047,0.30146,5.48952,0.48973,0.36344,0.69186,0.008911,0.008911,0.008911
57,129.517,0.16791,5.96667,0.49477,0.17436,0.92041,0.99881,1,0.995,0.98075,0.26847,0.26667,0.14116,0.04775,0.26531,5.65251,0.49342,0.32337,0.61584,0.0088912,0.0088912,0.0088912
58,131.739,0.15772,5.93971,0.48945,0.16798,0.92779,0.99904,1,0.995,0.98411,0.24994,0.25,0.17351,0.04356,0.2821,5.56041,0.49524,0.31738,0.63875,0.0088714,0.0088714,0.0088714
59,133.894,0.15067,5.72949,0.49093,0.1689,0.93056,0.99906,1,0.995,0.98602,0.28314,0.28333,0.18483,0.05955,0.24927,5.96962,0.49029,0.33233,0.58816,0.0088516,0.0088516,0.0088516
60,136.096,0.15264,5.75117,0.49148,0.16874,0.91134,0.99864,1,0.995,0.9782,0.38316,0.38333,0.28454,0.07691,0.27435,5.51509,0.4887,0.337,0.64383,0.0088318,0.0088318,0.0088318
61,138.299,0.15383,5.71064,0.49621,0.16828,0.91073,0.99895,1,0.995,0.98044,0.34972,0.35,0.20366,0.06949,0.26733,5.26004,0.48717,0.34621,0.62844,0.008812,0.008812,0.008812
62,140.55,0.15347,5.63993,0.49484,0.17087,0.90901,0.99903,1,0.995,0.989,0.46643,0.46667,0.37549,0.11351,0.24946,5.39811,0.48708,0.31843,0.59593,0.0087922,0.0087922,0.0087922
63,142.778,0.15517,5.57573,0.48356,0.16474,0.92074,0.99864,1,0.995,0.984,0.11653,0.11667,0.04583,0.00831,0.26722,5.78662,0.4777,0.36657,0.60024,0.0087724,0.0087724,0.0087724
64,144.984,0.15233,5.56067,0.49072,0.16689,0.91394,0.99803,1,0.995,0.9764,0.283,0.28333,0.15114,0.01945,0.32792,5.52368,0.47636,0.3802,0.69237,0.0087526,0.0087526,0.0087526
65,147.138,0.15343,5.59028,0.48822,0.17197,0.93502,0.99687,1,0.995,0.98057,0.42179,0.41667,0.30586,0.06789,0.30326,5.15187,0.47959,0.37862,0.64109,0.0087328,0.0087328,0.0087328
66,149.339,0.15504,5.63533,0.48632,0.16786,0.90833,0.98271,1,0.99451,0.98822,0.31275,0.3,0.21672,0.08081,0.28058,5.31542,0.47369,0.35059,0.6212,0.008713,0.008713,0.008713
67,151.576,0.15245,5.51508,0.4859,0.16442,0.92079,0.99472,1,0.995,0.99096,0.37101,0.36667,0.25648,0.08636,0.26917,5.18133,0.47663,0.33171,0.60472,0.0086932,0.0086932,0.0086932
68,153.799,0.15802,5.55036,0.48431,0.16313,0.92578,0.99601,1,0.995,0.98645,0.33225,0.33333,0.20622,0.06797,0.27654,5.26482,0.47597,0.29757,0.5889,0.0086734,0.0086734,0.0086734
69,155.934,0.15395,5.4713,0.48202,0.16137,0.91894,0.99866,1,0.995,0.98206,0.36877,0.36667,0.27274,0.06651,0.29093,5.52081,0.4798,0.28747,0.62349,0.0086536,0.0086536,0.0086536
70,158.112,0.15702,5.5648,0.4815,0.16432,0.9199,0.99884,1,0.995,0.9777,0.43331,0.43333,0.26882,0.06614,0.24759,5.36417,0.47618,0.30455,0.57928,0.0086338,0.0086338,0.0086338
71,160.285,0.13848,5.39817,0.4848,0.15391,0.91548,0.99885,1,0.995,0.9793,0.5993,0.6,0.46142,0.10193,0.24348,4.93539,0.47604,0.29328,0.56862,0.008614,0.008614,0.008614
72,162.571,0.15522,5.35519,0.48395,0.16309,0.92139,0.99897,1,0.995,0.97986,0.51621,0.51667,0.39302,0.10152,0.23399,4.95532,0.47363,0.30626,0.56948,0.0085942,0.0085942,0.0085942
73,164.807,0.15148,5.18164,0.48271,0.15975,0.91258,0.99893,1,0.995,0.99144,0.49972,0.5,0.35172,0.08038,0.2417,4.98604,0.47427,0.32751,0.58549,0.0085744,0.0085744,0.0085744
74,167.018,0.15145,5.39478,0.48015,0.16114,0.92495,0.9978,1,0.995,0.9905,0.64969,0.65,0.60293,0.18816,0.24324,4.73975,0.47838,0.33397,0.57754,0.0085546,0.0085546,0.0085546
75,169.255,0.14337,5.28256,0.47914,0.15677,0.91905,0.98779,1,0.995,0.98744,0.41415,0.41667,0.31075,0.11925,0.24535,5.01511,0.47601,0.3369,0.55789,0.0085348,0.0085348,0.0085348
76,171.617,0.14615,5.16516,0.47732,0.15921,0.91249,0.99909,1,0.995,0.9919,0.56645,0.56667,0.51978,0.13253,0.22858,4.81674,0.47669,0.30837,0.55727,0.008515,0.008515,0.008515
77,173.763,0.13379,5.21979,0.47615,0.15389,0.90066,0.99912,1,0.995,0.98779,0.54969,0.55,0.48866,0.17014,0.25811,4.88228,0.47415,0.28818,0.58324,0.0084952,0.0084952,0.0084952
78,176.016,0.15151,5.14859,0.4777,0.15945,0.91749,0.99891,1,0.995,0.98896,0.58314,0.58333,0.51123,0.15388,0.24942,4.82837,0.47691,0.32116,0.569,0.0084754,0.0084754,0.0084754
79,178.269,0.14232,5.20649,0.47837,0.15659,0.89651,0.99876,1,0.995,0.98412,0.63295,0.63333,0.53105,0.16235,0.25368,4.70494,0.47173,0.3096,0.58002,0.0084556,0.0084556,0.0084556
80,180.466,0.14572,4.94729,0.48168,0.15395,0.90588,0.99658,1,0.995,0.99332,0.48267,0.48333,0.39481,0.10715,0.22524,5.02285,0.46,0.29575,0.55532,0.0084358,0.0084358,0.0084358
81,182.605,0.14389,4.96222,0.48104,0.15412,0.90484,0.99607,1,0.995,0.98317,0.35411,0.35,0.36039,0.14375,0.25854,5.08417,0.46746,0.33796,0.59098,0.008416,0.008416,0.008416
82,184.794,0.14425,5.11661,0.47321,0.15407,0.90278,0.99857,1,0.995,0.98969,0.54955,0.55,0.41434,0.12539,0.26105,4.7717,0.4643,0.32193,0.60281,0.0083962,0.0083962,0.0083962
83,186.992,0.1501,5.06376,0.47696,0.15785,0.92404,0.99891,1,0.995,0.98046,0.64952,0.65,0.52997,0.14099,0.25047,4.75328,0.46749,0.34898,0.57654,0.0083764,0.0083764,0.0083764
84,189.195,0.14399,5.00582,0.47378,0.15609,0.91693,0.99545,1,0.995,0.99429,0.53101,0.53333,0.41015,0.09974,0.22071,5.07808,0.46082,0.29941,0.54247,0.0083566,0.0083566,0.0083566
85,191.455,0.14145,4.95212,0.4738,0.15129,0.91389,0.99648,1,0.995,0.99257,0.6979,0.7,0.57632,0.18298,0.21668,4.49003,0.46472,0.27043,0.53707,0.0083368,0.0083368,0.0083368
